1,1,https://image.kkday.com/v2/image/get/h_650%2Cc_fit/s1.kkday.com/product_125748/20220103071938_8TSLy/png,1
2,1,https://image.kkday.com/v2/image/get/h_650%2Cc_fit/s1.kkday.com/product_125748/20220103072034_52N0o/jpg,2
3,1,https://image.kkday.com/v2/image/get/h_650%2Cc_fit/s1.kkday.com/product_125748/20220103072034_52N0o/jpg,3
4,2,https://image.kkday.com/v2/image/get/h_650%2Cc_fit/s1.kkday.com/product_6370/20220825082844_0RZJ4/jpg,1
5,2,https://image.kkday.com/v2/image/get/h_650%2Cc_fit/s1.kkday.com/product_6370/20221013063654_JempZ/jpg,2
6,2,https://image.kkday.com/v2/image/get/h_650%2Cc_fit/s1.kkday.com/product_6370/20220122023741_mzHTa/jpg,3
7,3,https://image.kkday.com/v2/image/get/h_650%2Cc_fit/s1.kkday.com/product_23741/20210205021022_6S7c8/jpg,1
8,3,https://image.kkday.com/v2/image/get/h_650%2Cc_fit/s1.kkday.com/product_23741/20211203134029_0gkus/jpg,2
9,3,https://image.kkday.com/v2/image/get/h_650%2Cc_fit/s1.kkday.com/product_23741/20211203134028_bt2PH/jpg,3
10,4,https://image.kkday.com/v2/image/get/h_650%2Cc_fit/s1.kkday.com/product_102318/20200921061603_9zWLY/png,1
11,4,https://image.kkday.com/v2/image/get/h_650%2Cc_fit/s1.kkday.com/product_102318/20200921061945_zlMJv/jpg,2
12,4,https://image.kkday.com/v2/image/get/h_650%2Cc_fit/s1.kkday.com/product_102318/20200921061614_9VUZM/jpg,3
13,5,https://image.kkday.com/v2/image/get/h_650%2Cc_fit/s1.kkday.com/product_19847/20180830072340_7hUi5/jpg,1
14,5,https://image.kkday.com/v2/image/get/h_650%2Cc_fit/s1.kkday.com/product_19847/20180830072509_JQuGQ/jpg,2
15,5,https://image.kkday.com/v2/image/get/h_650%2Cc_fit/s1.kkday.com/product_19847/20180830051228_vWnwW/jpg,3
16,6,https://image.kkday.com/v2/image/get/h_650%2Cc_fit/s1.kkday.com/product_102949/20210218021904_lgIoD/jpg,1
17,6,https://image.kkday.com/v2/image/get/h_650%2Cc_fit/s1.kkday.com/product_102949/20210218021903_swE3j/jpg,2
